species,Latitude,Longitude
Salix cinerea,50.923148,29.721177
Salix cinerea,50.543213,30.258272
Salix alba,50.539175,30.242398
Salix cinerea,50.954082,29.700792
Salix triandra,50.298146,30.325341
Salix acutifolia,50.942745,29.7882
Salix acutifolia,50.550755,30.53307
Salix alba,50.684704,29.577406
Salix caprea,50.686459,29.583443
Salix alba,50.542991,30.258512
Salix alba,49.654418,31.09211
Salix cinerea,50.300153,30.094102
Salix cinerea,50.226654,30.071884
Salix caprea,50.29936,30.31954
Salix acutifolia,50.213455,30.787227
Salix caprea,50.2216,30.0567
Salix cinerea,50.53272,30.224717
Salix purpurea,50.53289,30.225205
Salix caprea,50.566349,30.226903
Salix alba,50.566833,30.201296
Salix pentandra,50.568577,30.215758
Salix cinerea,50.566498,30.226721
Salix cinerea,50.217571,30.78725
Salix caprea,50.566401,30.226225
Salix alba,50.563872,30.20319
Salix caprea,50.333206,30.494733
Salix triandra,50.339218,30.983418
Salix cinerea,50.513835,30.252004
Salix triandra,50.514041,30.25187
Salix triandra,50.311408,30.298118
Salix cinerea,50.156752,31.788587
Salix cinerea,50.339439,30.984012
Salix cinerea,51.274463,29.804887
Salix alba,50.578652,30.085322
Salix cinerea,50.590117,30.07196
Salix cinerea,50.516702,30.258188
Salix caprea,50.572035,30.052794
Salix alba,50.573199,30.053973
Salix cinerea,50.578809,30.085577
Salix cinerea,50.586203,30.073078
Salix alba,50.515218,30.256985
Salix alba,50.572918,30.05385
Salix aurita,50.590297,30.071762
Salix alba,50.57325,30.090427
Salix caprea,50.55303,30.181649
Salix alba,50.306636,30.245874
Salix alba,50.584531,30.004707
Salix caprea,50.499111,30.219372
Salix cinerea,50.306602,30.24593
Salix caprea,50.335313,31.444234
Salix alba,50.575441,30.002268
Salix cinerea,50.564254,30.011964
Salix cinerea,50.584587,30.004493
Salix caprea,50.332445,30.481893
Salix caprea,50.303347,30.293803
Salix acutifolia,50.429596,29.723573
Salix caprea,50.300608,30.332012
Salix rosmarinifolia,50.300577,30.332059
Salix cinerea,50.181497,30.409015
Salix cinerea,50.300406,30.332156
Salix caprea,50.429627,29.723423
Salix alba,50.308893,29.89796
Salix pentandra,50.37435,31.01313
Salix caprea,50.558508,30.206752
Salix fragilis,49.799999,30.1
Salix fragilis,49.544793,30.870713
Salix alba,50.300787,29.950505
Salix babylonica,50.304996,29.947113
Salix fragilis,50.334217,30.493369
Salix cinerea,49.477528,30.216778
Salix viminalis,50.146115,30.56843
Salix caprea,50.549254,30.206122
